iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
AUS,THA,0,0,0,0,7539.52,8.927913798498134,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,TUN,0,0,0,0,16498.66,9.711034444469577,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,TUR,0,0,0,0,14960.31,9.613155973238905,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,UKR,0,0,0,0,14956.91,9.612928679391775,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,USA,0,1,0,0,16008.79,9.68089322537072,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,VNM,0,0,0,0,7769.68,8.957984258472424,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,ZAF,0,1,0,0,11015.12,9.307024153412236,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUT,ARG,0,0,0,0,11833.76,9.37871174248341,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,AUS,0,0,0,0,15988.95,9.679653137630615,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BEL,0,1,0,0,914.4633,6.818337335806396,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BGD,0,0,0,0,6911.951,8.841007221338394,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BGR,0,0,0,0,820.7289,6.710192847857516,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BLR,0,0,0,0,998.225,6.905978701803032,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BRA,0,0,0,0,10146.47,9.224881140728082,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,BRN,0,0,0,0,10241.08,9.234162361782062,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
AUT,CAN,0,0,0,0,6922.538,8.842537744376385,Austria,1,Europe,48.216667,16.366667,German,,Advanced Economies,1.0
