iso_o,iso_d,log_dist
CAN,CHL,9.063259773452279
CAN,CHN,9.268450776973165
CAN,CIV,9.039772074238597
CAN,CMR,9.18946141564567
CAN,COL,8.380955053144344
CAN,CRI,8.235995118995513
CAN,CYP,9.097771382027572
CAN,CZE,8.808032474628813
CAN,DEU,8.725922799163575
CAN,DNK,8.741492075076936
CAN,EGY,9.12889851094393
CAN,ESP,8.706241737861145
CAN,EST,8.801742762705219
CAN,FIN,8.796462677080173
CAN,FRA,8.700288615364416
CAN,GBR,8.650980276348696
CAN,GRC,9.000027158726006
CAN,HKG,9.438921114937436
CAN,HRV,8.861600859055486
CAN,HUN,8.87222807118467
CAN,IDN,9.668738795568478
CAN,IND,9.362514528338659
CAN,IRL,8.56724903047166
CAN,ISL,8.342194357920533
CAN,ISR,9.135245636208266
CAN,ITA,8.866327496061665
CAN,JOR,9.144251957040163
CAN,JPN,9.245561752294735
CAN,KAZ,9.218214291152178
CAN,KHM,9.537554166905139
CAN,KOR,9.27027769883601
CAN,LAO,9.485775758969607
CAN,LTU,8.852172170826499
CAN,LUX,8.733848378748577
CAN,LVA,8.821193445174178
CAN,MAR,8.728700989150008
CAN,MEX,8.091716174113964
CAN,MLT,8.940634554134524
CAN,MMR,9.49494396075586
CAN,MYS,9.60412283630986
CAN,NGA,9.099016555575744
CAN,NLD,8.697552657902662
CAN,NOR,8.689732221610436
CAN,NZL,9.568597164133067
CAN,PAK,9.304496249466215
CAN,PER,8.733826154772773
CAN,PHL,9.489953477698933
CAN,POL,8.843021265109897
CAN,PRT,8.653611288497373
CAN,RUS,8.922060921129454
CAN,SAU,9.273862439199458
CAN,SEN,8.802349727383843
CAN,SGP,9.61730036219112
CAN,SVK,8.849938778410886
CAN,SVN,8.845977954989296
CAN,SWE,8.753901444758595
CAN,THA,9.521283789340805
CAN,TUN,8.891206296976225
CAN,TUR,9.011551571305375
CAN,UKR,8.931197205743372
CAN,USA,6.3069951008125456
CAN,VNM,9.458492583493431
CAN,ZAF,9.481699446194677
CHE,ARG,9.324963754515188
CHE,AUS,9.721557918930246
CHE,AUT,6.529254591197772
CHE,BEL,6.18919900422016
CHE,BGD,8.935338629908404
CHE,BGR,7.198611309096984
CHE,BLR,7.383773285546609
CHE,BRA,9.16267113433381
CHE,BRN,9.298884989618069
CHE,CAN,8.7703951483048
CHE,CHL,9.381453515196009
CHE,CHN,8.997674735090726
CHE,CIV,8.468455155888083
CHE,CMR,8.479098516044385
CHE,COL,9.112802953716669
CHE,CRI,9.139906748819094
CHE,CYP,7.833303824747209
CHE,CZE,6.435215797178402
CHE,DEU,6.222180753357798
CHE,DNK,6.94071411977885
CHE,EGY,7.930079579962822
CHE,ESP,7.05022398953545
CHE,EST,7.49232176466799
CHE,FIN,7.527987621474564
CHE,FRA,6.077820667797418
CHE,GBR,6.618353996201488
CHE,GRC,7.41616859547315
CHE,HKG,9.149422594693883
CHE,HRV,6.503230278833973
CHE,HUN,6.779193687839232
CHE,IDN,9.325692900786775
CHE,IND,8.74017881025977
CHE,IRL,7.093369741539385
CHE,ISL,7.869917252446446
CHE,ISR,7.954208986729555
CHE,ITA,6.540538103337198
CHE,JOR,7.985478230098309
CHE,JPN,9.177878542024315
CHE,KAZ,8.574414003309387
CHE,KHM,9.173302666327212
CHE,KOR,9.091350170488228
CHE,LAO,9.099236617673485
CHE,LTU,7.324488660956101
CHE,LUX,5.736158018128964
CHE,LVA,7.370010844353643
CHE,MAR,7.534905809183942
CHE,MEX,9.17372462295577
CHE,MLT,7.217989870779423
CHE,MMR,9.055641375183983
CHE,MYS,9.218863942917059
CHE,NGA,8.417052141727233
CHE,NLD,6.442579974593042
CHE,NOR,7.2857662817528634
CHE,NZL,9.852544196912865
CHE,PAK,8.630028183448196
CHE,PER,9.267222469866617
CHE,PHL,9.261354727463896
CHE,POL,7.038776523820059
CHE,PRT,7.394477126759452
CHE,RUS,7.739096651900014
CHE,SAU,8.357940920574542
CHE,SEN,8.36004662840911
CHE,SGP,9.249481274252354
CHE,SVK,6.610647322131102
CHE,SVN,6.309868458803732
CHE,SWE,7.34375476508297
CHE,THA,9.119762278171343
CHE,TUN,7.046769985724536
CHE,TUR,7.5159729140367215
CHE,UKR,7.4563268751594896
CHE,USA,8.743896001048896
CHE,VNM,9.097893809484422
CHE,ZAF,9.11270637419714
CHL,ARG,7.028482420945723
CHL,AUS,9.337300722514133
CHL,AUT,9.435242376305256
CHL,BEL,9.38470871900906
CHL,BGD,9.79192506658038
CHL,BGR,9.453780546197704
CHL,BLR,9.508296732702249
CHL,BRA,7.859715425607444
CHL,BRN,9.72921154334998
