iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUS,IDN,1738.0089,1674.3594,1702.2957,1730.2999,2374.9457,2665.3468,3166.3463,3017.572,3771.301,3221.0655,3768.3655,5098.1975,4860.2936,4643.8472,5027.6468,4254.518,4617.0868,5479.7015,5218.6842,4808.66,4068.2958
AUS,IND,1018.888,1254.2071,1336.3351,2054.4586,3767.337,5049.7673,6446.7217,7696.823,10660.4433,11368.0183,14403.4731,15104.5451,12937.4963,10438.0814,8894.3069,8406.6721,8018.6368,12695.5524,12644.6236,9702.3402,6725.6758
AUS,IRL,78.1442,122.3777,121.3406,128.136,188.5883,144.7668,152.0088,210.33,176.3177,104.8071,138.8817,126.4295,105.651,95.0363,78.5171,81.88,123.8441,103.2719,111.2174,96.586,119.9892
AUS,ISL,63.1549,60.6747,61.8915,35.49,15.3814,4.7881,11.2602,50.9787,264.3055,53.8844,28.6562,4.201,3.8669,2.3608,4.0776,15.477,136.2385,219.8769,364.9771,177.3027,45.0073
AUS,ISR,161.0833,127.0695,124.9504,125.1407,89.0581,119.0589,143.4175,142.3551,243.5705,180.5306,188.7843,280.4283,260.129,218.9065,195.9981,210.3294,186.7776,165.5825,195.1375,196.2321,167.0002
AUS,ITA,1079.8975,1202.6543,1106.7959,1086.1834,1148.2317,1270.6763,1390.046,1504.3195,1486.1828,834.9331,1020.8472,1375.7833,865.277,701.6501,599.3456,540.6287,504.428,602.2953,649.5996,497.8714,350.5998
AUS,JOR,58.1996,57.5603,50.3558,56.1973,75.2436,54.9737,66.3401,64.1554,79.352,105.518,105.4465,155.3111,191.3857,227.5059,205.2033,199.0768,141.0764,111.2129,94.4616,116.16,85.2467
AUS,JPN,13390.4682,12982.2907,12840.6899,13983.1329,17571.9121,22684.0305,25761.1074,28405.2582,43952.9423,31566.1411,41486.3586,52745.2554,50769.71,46627.1417,44255.9491,31868.2307,28176.6114,35662.2201,42505.2906,41213.0257,32049.6883
AUS,KAZ,4.9885,10.6768,3.7396,14.5104,13.4681,22.1407,22.4784,37.2056,36.6303,28.8847,32.8869,37.0374,52.4262,67.4059,54.032,45.4334,20.5863,16.3947,21.0342,40.7515,9.7412
AUS,KHM,3.4999,4.2234,5.6301,10.1848,14.1864,28.8565,26.966,30.1507,32.6226,32.4567,21.3417,27.5291,27.1695,26.5516,41.6396,38.0193,35.2777,30.0156,48.2097,75.4938,100.5606
AUS,KOR,5503.4575,5108.5645,5477.1394,5422.2223,6748.5289,8797.4357,10001.5974,11824.0771,16049.6358,13145.5415,19023.1532,24261.5106,20745.4902,18980.6755,18595.978,14701.5128,13934.9794,17365.3123,19192.9314,18711.1419,16960.5182
AUS,LAO,3.6974,7.0259,11.4952,7.3255,16.2591,16.0759,16.3272,19.0565,12.6124,5.0476,17.4183,15.9695,24.4928,29.9474,28.1463,19.3016,14.4281,18.1518,27.2597,32.4974,42.6902
AUS,LTU,1.3721,3.4324,2.4861,5.1265,6.0308,7.2761,2.7889,4.8043,4.3846,2.0242,2.1912,4.3007,5.3606,4.5572,3.545,5.4539,4.5919,3.6715,3.6251,3.6532,6.3297
