iso_o,TIME_PERIOD,schooling
HUN,2008,15.4487896
HUN,2009,15.40419006
HUN,2010,15.48670006
HUN,2011,15.50347996
HUN,2012,15.49135017
HUN,2013,15.83043003
HUN,2014,15.58627987
HUN,2015,15.31861973
HUN,2016,15.15058994
HUN,2017,15.2469902
HUN,2018,15.16994953
HUN,2019,15.03071976
HUN,2020,15.05879021
IDN,2000,10.76461029
IDN,2001,10.81116009
IDN,2002,10.9467001
IDN,2003,11.18869972
IDN,2004,11.32516003
IDN,2005,11.23674011
IDN,2006,11.36719036
IDN,2007,12.01272011
IDN,2008,11.97515011
IDN,2009,12.42794991
IDN,2010,12.64494991
IDN,2011,12.96133041
IDN,2012,13.29708958
IDN,2013,13.32936954
IDN,2014,13.26311016
IDN,2015,13.63879967
IDN,2016,13.60601997
IDN,2017,13.72858047
IDN,2018,13.78658009
IDN,2019,13.15936375
IDN,2020,13.34878254
IND,2000,8.326029778
IND,2001,8.807609558
IND,2002,8.872280121
IND,2003,9.489009857
IND,2004,9.759057283
IND,2005,10.02910471
IND,2006,10.29915214
IND,2007,10.56919956
IND,2008,10.86855984
IND,2009,10.78787994
IND,2010,11.10916996
IND,2011,11.69287014
IND,2012,11.76546955
IND,2013,11.80904961
IND,2014,12.16592026
IND,2015,12.26624012
IND,2016,12.67975998
IND,2017,12.50761032
IND,2018,11.81653976
IND,2019,11.75397968
IND,2020,12.1291399
IRL,2000,16.71693993
IRL,2001,16.82689095
IRL,2002,17.02165985
IRL,2003,17.22590065
IRL,2004,17.59017944
IRL,2005,17.55994034
IRL,2006,17.44894981
IRL,2007,17.49214935
IRL,2008,17.26186943
IRL,2009,17.49266052
IRL,2010,17.9317894
IRL,2011,18.1099205
IRL,2012,18.13200951
IRL,2013,18.25286007
IRL,2014,18.37371063
IRL,2015,18.9115696
IRL,2016,19.00027084
IRL,2017,18.92165947
IRL,2018,19.97864914
IRL,2019,19.15852928
IRL,2020,19.05665016
ISL,2000,17.02371025
ISL,2001,17.05023956
ISL,2002,17.55954933
ISL,2003,18.24403
ISL,2004,17.92898941
ISL,2005,18.1415596
ISL,2006,18.12881088
ISL,2007,17.97085953
ISL,2008,18.00515938
ISL,2009,17.9835701
ISL,2010,18.52272034
ISL,2011,18.74509048
ISL,2012,19.17963982
ISL,2013,19.7612896
ISL,2014,19.71046066
ISL,2015,19.35326958
ISL,2016,19.06691933
ISL,2017,18.73963928
ISL,2018,18.50045967
ISL,2019,18.23498917
ISL,2020,18.23974037
ISR,2000,14.3139801
ISR,2001,14.37794971
ISR,2002,14.89109039
ISR,2003,14.77112961
ISR,2004,14.66952038
ISR,2005,14.64525986
ISR,2006,14.57705021
ISR,2007,14.7148304
ISR,2008,14.56844997
ISR,2009,14.84815025
ISR,2010,15.04463959
ISR,2011,15.04598045
ISR,2012,15.0644598
ISR,2013,15.10923004
ISR,2014,15.09504986
ISR,2015,15.04730034
ISR,2016,14.90981007
ISR,2017,14.92461014
ISR,2018,14.85824013
ISR,2019,14.78419018
ISR,2020,14.8323698
ITA,2000,15.08234024
ITA,2001,15.40863991
ITA,2002,15.64844036
ITA,2003,15.91219997
ITA,2004,16.06414986
ITA,2005,16.19094086
ITA,2006,16.31435013
ITA,2007,16.38709068
ITA,2008,16.35217094
